,Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary
53,14768.0,0.57,0.97,4.0,200.0,2.0,0.0,0.0,product_mng,medium
54,7698.0,0.6,0.72,,202.0,,,,,
55,7447.0,0.58,0.72,,199.0,,,,,
56,6975.0,0.57,0.71,,202.0,,,,,
57,1890.0,0.99,0.72,4.0,234.0,3.0,0.0,0.0,technical,medium
58,10133.0,0.85,0.92,4.0,230.0,2.0,0.0,0.0,marketing,low
59,8549.0,0.62,0.81,4.0,204.0,3.0,0.0,0.0,sales,low
60,4652.0,0.64,0.76,3.0,147.0,2.0,1.0,1.0,sales,medium
61,869.0,0.14,0.98,7.0,265.0,4.0,0.0,0.0,RandD,low
62,12079.0,0.7,0.67,3.0,203.0,10.0,0.0,0.0,sales,medium
63,8333.0,0.64,0.75,5.0,189.0,2.0,0.0,0.0,RandD,low
64,7732.0,0.62,0.71,,199.0,,,,,
65,2677.0,0.63,,4.0,,3.0,0.0,1.0,sales,medium
66,7428.0,0.63,0.73,,199.0,,,,,
67,2821.0,0.76,0.78,5.0,204.0,2.0,0.0,0.0,product_mng,medium
68,7559.0,0.45,0.83,3.0,199.0,2.0,0.0,0.0,hr,medium
69,7394.0,0.64,0.55,3.0,140.0,3.0,0.0,0.0,sales,low
70,11310.0,0.95,0.74,3.0,146.0,10.0,0.0,0.0,sales,medium
71,3763.0,0.58,0.5,4.0,206.0,3.0,0.0,0.0,sales,medium
72,2891.0,0.48,0.45,2.0,155.0,3.0,0.0,0.0,RandD,low
73,5624.0,0.78,0.45,3.0,141.0,3.0,0.0,0.0,technical,medium
74,7281.0,0.58,0.7,,196.0,,,,,
75,8094.0,0.67,0.7,4.0,271.0,3.0,0.0,0.0,sales,low
76,90.0,0.92,0.89,5.0,,5.0,0.0,0.0,IT,low
77,13423.0,0.9,0.99,4.0,271.0,10.0,0.0,1.0,management,medium
78,2314.0,0.6,0.97,3.0,181.0,3.0,0.0,0.0,technical,medium
79,9269.0,0.09,0.93,6.0,,6.0,0.0,0.0,sales,low
80,11036.0,0.63,0.69,3.0,245.0,3.0,1.0,1.0,marketing,medium
81,7722.0,0.59,0.7,,196.0,,,,,
82,10302.0,0.68,0.8,4.0,265.0,3.0,1.0,0.0,technical,low
83,5833.0,0.63,0.65,4.0,187.0,3.0,0.0,0.0,RandD,low
84,7585.0,0.6,0.51,,199.0,,,,,
85,7719.0,0.6,0.71,,202.0,,,,,
86,8788.0,0.6,0.72,,196.0,,,,,
87,8360.0,0.64,0.9,4.0,262.0,2.0,0.0,0.0,hr,low
88,14110.0,,0.95,4.0,238.0,5.0,0.0,0.0,IT,high
89,7332.0,0.62,0.56,,200.0,,,,,
90,4829.0,,0.93,4.0,252.0,3.0,1.0,0.0,sales,high
91,,0.09,0.8,7.0,271.0,10.0,0.0,0.0,IT,medium
92,2860.0,0.62,0.75,3.0,247.0,2.0,0.0,0.0,sales,low
93,10859.0,0.82,0.63,4.0,141.0,10.0,0.0,0.0,sales,medium
94,7039.0,0.46,0.89,3.0,165.0,3.0,0.0,1.0,sales,medium
95,12164.0,,0.58,4.0,131.0,2.0,0.0,0.0,product_mng,low
96,9131.0,0.68,0.88,3.0,270.0,5.0,0.0,0.0,support,medium
97,12475.0,0.6,,3.0,141.0,3.0,0.0,0.0,management,low
98,13379.0,,0.72,3.0,106.0,6.0,0.0,0.0,sales,low
99,14016.0,0.67,0.77,3.0,138.0,3.0,0.0,0.0,product_mng,low
100,7720.0,0.61,0.71,3.0,198.0,3.0,0.0,0.0,sales,medium
101,4669.0,0.38,0.42,2.0,130.0,3.0,0.0,0.0,IT,low
102,13093.0,,0.85,6.0,275.0,4.0,0.0,0.0,marketing,high
103,14999.0,0.13,1.0,7.0,272.0,4.0,0.0,0.0,sales,low
104,5235.0,0.48,,2.0,179.0,3.0,0.0,0.0,sales,medium
105,6983.0,0.47,0.72,,198.0,,,,,
106,1350.0,0.18,0.84,7.0,262.0,4.0,0.0,0.0,IT,medium
107,4670.0,0.75,0.51,3.0,153.0,3.0,0.0,1.0,accounting,medium
108,14168.0,0.79,0.8,5.0,195.0,10.0,0.0,1.0,hr,medium
109,4025.0,0.65,0.39,6.0,262.0,6.0,1.0,0.0,marketing,high
110,755.0,0.1,0.94,7.0,293.0,4.0,0.0,0.0,sales,low
111,6973.0,,0.62,4.0,194.0,3.0,0.0,0.0,sales,medium
112,6590.0,0.59,0.8,3.0,198.0,3.0,0.0,0.0,support,medium
113,,0.59,0.72,3.0,191.0,4.0,0.0,0.0,IT,medium
114,7300.0,0.59,0.71,,203.0,,,,,
115,2763.0,0.8,0.49,2.0,242.0,3.0,0.0,0.0,accounting,low
116,12592.0,0.94,0.71,4.0,144.0,5.0,0.0,0.0,sales,low
117,8391.0,0.77,0.77,4.0,211.0,4.0,0.0,0.0,sales,high
118,7422.0,0.6,0.69,,200.0,,,,,
119,3880.0,0.97,1.0,5.0,258.0,3.0,0.0,0.0,sales,high
120,3501.0,0.7,0.76,3.0,273.0,8.0,0.0,0.0,marketing,low
121,12181.0,0.8,0.84,6.0,275.0,7.0,0.0,0.0,sales,low
122,9909.0,0.44,0.47,2.0,150.0,3.0,0.0,0.0,IT,medium
123,8792.0,0.74,0.61,5.0,204.0,2.0,0.0,0.0,sales,medium
124,10310.0,0.82,0.76,3.0,224.0,3.0,0.0,0.0,management,low
125,4725.0,0.92,,4.0,145.0,8.0,1.0,0.0,marketing,medium
126,7078.0,0.96,0.53,3.0,134.0,3.0,0.0,0.0,IT,low
127,13980.0,0.6,0.83,5.0,283.0,4.0,0.0,0.0,IT,medium
128,14999.0,0.67,0.5,3.0,130.0,3.0,0.0,1.0,management,medium
129,7495.0,0.22,,6.0,253.0,6.0,0.0,0.0,IT,medium
130,14672.0,0.88,0.86,3.0,219.0,5.0,0.0,0.0,marketing,low
131,1476.0,0.6,0.78,3.0,200.0,2.0,0.0,0.0,hr,medium
132,11382.0,0.58,0.87,4.0,272.0,4.0,0.0,0.0,sales,medium
133,8398.0,0.76,0.76,3.0,272.0,3.0,0.0,1.0,sales,low
134,6280.0,0.19,0.75,6.0,256.0,6.0,1.0,0.0,technical,low
135,7535.0,0.59,0.71,,203.0,,,,,
136,9224.0,0.13,0.42,6.0,283.0,6.0,0.0,0.0,technical,medium
137,10651.0,0.62,0.83,3.0,261.0,4.0,0.0,0.0,sales,medium
138,,0.82,0.67,4.0,124.0,3.0,0.0,0.0,sales,low
139,13072.0,0.55,1.0,4.0,258.0,6.0,0.0,1.0,sales,low
140,,0.92,0.65,3.0,259.0,6.0,0.0,0.0,hr,low
141,1732.0,0.78,0.98,4.0,248.0,6.0,0.0,0.0,IT,high
142,7729.0,0.6,0.71,,,,,,,
143,14557.0,0.78,0.48,3.0,130.0,3.0,0.0,0.0,marketing,low
144,3454.0,0.68,0.61,3.0,158.0,3.0,0.0,0.0,sales,medium
145,2492.0,0.7,0.97,4.0,203.0,2.0,0.0,0.0,technical,medium
146,12467.0,1.0,0.95,3.0,246.0,4.0,0.0,0.0,management,low
147,7534.0,0.58,0.6,,201.0,,,,,
148,7090.0,0.59,0.72,,200.0,,,,,
149,4736.0,0.71,0.86,3.0,137.0,3.0,0.0,0.0,support,low
150,7316.0,0.58,0.72,,195.0,,,,,
151,,0.69,0.86,3.0,272.0,10.0,0.0,0.0,management,medium
152,8387.0,0.91,0.67,4.0,151.0,4.0,0.0,0.0,sales,low
153,3643.0,,0.51,4.0,150.0,4.0,0.0,0.0,support,medium
154,7822.0,0.92,0.81,3.0,214.0,10.0,0.0,0.0,management,high
155,7433.0,0.6,0.7,,204.0,,,,,
156,2055.0,0.91,1.0,5.0,222.0,6.0,0.0,0.0,product_mng,high
157,8833.0,0.78,0.7,3.0,199.0,3.0,0.0,0.0,hr,low
158,12443.0,0.71,0.93,6.0,266.0,3.0,0.0,0.0,technical,low
159,14422.0,0.42,0.47,2.0,124.0,3.0,0.0,0.0,technical,low
160,14551.0,0.84,0.76,4.0,152.0,3.0,0.0,1.0,management,medium
161,2746.0,,0.54,3.0,151.0,3.0,0.0,0.0,sales,medium
162,6118.0,,0.86,5.0,254.0,4.0,0.0,0.0,technical,medium
163,6171.0,0.2,0.36,3.0,167.0,4.0,1.0,0.0,RandD,medium
164,2019.0,0.75,0.69,4.0,244.0,10.0,0.0,0.0,IT,medium
165,,0.87,0.8,4.0,154.0,2.0,1.0,0.0,sales,medium
166,,0.76,0.52,5.0,198.0,3.0,0.0,0.0,sales,medium
167,,,0.86,7.0,,4.0,0.0,0.0,technical,low
168,6740.0,0.42,0.49,2.0,148.0,4.0,0.0,0.0,sales,medium
169,13839.0,0.43,0.49,4.0,148.0,3.0,0.0,0.0,sales,high
170,2083.0,0.12,0.79,7.0,260.0,4.0,0.0,0.0,sales,low
171,14162.0,0.72,0.47,4.0,223.0,3.0,1.0,0.0,marketing,low
172,3732.0,0.11,0.88,4.0,248.0,4.0,0.0,0.0,support,low
173,6243.0,0.7,0.73,,199.0,,,,,
174,1061.0,0.13,0.95,7.0,297.0,4.0,0.0,0.0,marketing,medium
175,8742.0,0.96,0.73,3.0,179.0,3.0,0.0,0.0,sales,low
176,7276.0,0.6,0.71,,197.0,,,,,
177,10155.0,0.91,0.8,3.0,197.0,3.0,0.0,0.0,technical,medium
178,4527.0,0.74,0.47,5.0,136.0,3.0,0.0,0.0,sales,low
179,4818.0,0.83,0.77,3.0,239.0,3.0,0.0,0.0,sales,high
180,8991.0,0.6,0.86,5.0,198.0,2.0,0.0,0.0,sales,high
181,7700.0,0.92,0.71,3.0,205.0,2.0,0.0,0.0,RandD,medium
182,1215.0,0.8,0.85,4.0,249.0,5.0,0.0,0.0,IT,low
183,7613.0,0.68,0.54,3.0,143.0,4.0,0.0,0.0,product_mng,high
184,5711.0,0.73,0.4,2.0,196.0,3.0,0.0,0.0,marketing,low
185,12007.0,0.98,0.82,3.0,130.0,3.0,0.0,1.0,sales,medium
186,3597.0,0.68,0.96,3.0,244.0,5.0,0.0,0.0,product_mng,medium
187,7893.0,0.64,0.58,3.0,167.0,3.0,0.0,0.0,accounting,low
188,7596.0,0.59,0.71,,200.0,,,,,
189,10163.0,0.77,0.76,3.0,176.0,4.0,0.0,0.0,IT,medium
190,4887.0,0.6,0.49,5.0,157.0,3.0,0.0,0.0,accounting,low
191,724.0,0.96,0.72,5.0,288.0,5.0,0.0,0.0,IT,medium
192,949.0,0.16,0.99,4.0,257.0,5.0,0.0,0.0,technical,low
193,7769.0,0.68,0.71,,199.0,,,,support,
194,9185.0,0.61,0.65,3.0,180.0,7.0,0.0,0.0,sales,medium
195,7845.0,0.67,0.66,3.0,180.0,3.0,0.0,0.0,technical,low
196,7468.0,0.6,0.72,,197.0,,,,,
197,7700.0,0.6,0.74,,199.0,,,,,
198,12559.0,0.53,0.73,3.0,284.0,10.0,0.0,0.0,sales,medium
199,414.0,0.76,0.9,5.0,267.0,2.0,0.0,0.0,support,medium
200,14323.0,0.86,0.7,3.0,251.0,3.0,1.0,0.0,accounting,low
201,14498.0,0.83,0.72,4.0,139.0,3.0,1.0,1.0,hr,medium
202,9011.0,0.59,0.69,,204.0,,,,,
203,8613.0,0.54,0.49,3.0,188.0,2.0,1.0,0.0,hr,high
204,2631.0,,0.49,3.0,285.0,4.0,1.0,0.0,support,medium
205,13665.0,0.83,0.89,3.0,214.0,5.0,0.0,0.0,marketing,low
206,14252.0,0.63,0.79,3.0,260.0,4.0,0.0,0.0,IT,medium
207,7885.0,0.93,0.62,3.0,141.0,3.0,1.0,0.0,sales,low
208,14812.0,0.88,0.75,4.0,169.0,3.0,0.0,1.0,sales,medium
209,10543.0,0.92,0.84,4.0,273.0,3.0,0.0,0.0,RandD,low
210,9300.0,0.72,0.88,4.0,209.0,7.0,0.0,0.0,sales,medium
211,14184.0,0.12,0.76,5.0,275.0,5.0,0.0,0.0,IT,low
212,7673.0,0.62,0.6,5.0,236.0,3.0,0.0,0.0,RandD,medium
213,13856.0,0.42,,2.0,163.0,8.0,0.0,0.0,RandD,high
214,12056.0,0.66,0.5,5.0,,3.0,0.0,0.0,support,low
215,2555.0,0.21,0.72,6.0,293.0,6.0,0.0,0.0,IT,low
216,7470.0,0.66,0.86,5.0,246.0,3.0,0.0,0.0,sales,low
217,7366.0,0.59,0.65,3.0,,6.0,0.0,0.0,technical,medium
218,,0.92,0.74,3.0,163.0,3.0,0.0,0.0,accounting,high
219,6537.0,0.5,0.74,3.0,247.0,2.0,0.0,0.0,sales,medium
220,9049.0,0.76,0.8,3.0,165.0,8.0,1.0,0.0,sales,medium
221,8730.0,0.78,0.57,3.0,155.0,3.0,1.0,0.0,sales,medium
222,12867.0,0.2,0.5,2.0,146.0,8.0,1.0,0.0,hr,low
223,7542.0,,0.69,3.0,244.0,3.0,0.0,0.0,accounting,medium
224,3514.0,0.91,0.8,4.0,200.0,5.0,0.0,0.0,sales,medium
225,5112.0,,0.79,3.0,195.0,4.0,0.0,0.0,technical,high
226,13710.0,0.09,0.95,6.0,233.0,6.0,0.0,0.0,marketing,low
227,12068.0,0.61,0.36,3.0,201.0,3.0,1.0,1.0,management,medium
228,2451.0,0.33,,2.0,147.0,5.0,0.0,0.0,RandD,low
229,7467.0,0.6,0.69,,201.0,,,,,
230,6728.0,0.48,0.71,4.0,148.0,3.0,1.0,0.0,sales,low
231,7235.0,0.6,0.71,,196.0,,,,,
232,5217.0,0.88,0.97,4.0,248.0,2.0,0.0,0.0,accounting,medium
233,9820.0,0.66,,2.0,96.0,3.0,1.0,0.0,product_mng,low
234,3173.0,0.62,0.79,4.0,163.0,3.0,0.0,0.0,sales,low
235,3616.0,0.13,0.9,5.0,262.0,4.0,1.0,0.0,accounting,medium
236,3622.0,0.51,0.77,3.0,,3.0,0.0,1.0,management,medium
237,3463.0,0.16,0.89,7.0,264.0,4.0,0.0,0.0,support,low
238,,0.38,0.46,3.0,118.0,6.0,0.0,0.0,marketing,medium
239,11948.0,0.72,0.5,4.0,139.0,3.0,1.0,1.0,hr,medium
240,7234.0,0.6,0.75,,199.0,,,,,
241,3373.0,0.17,,5.0,224.0,5.0,0.0,0.0,marketing,low
242,7397.0,0.57,0.71,,198.0,,,,,
243,1409.0,0.14,0.89,7.0,268.0,4.0,0.0,0.0,support,medium
244,5741.0,0.17,0.86,3.0,96.0,7.0,0.0,0.0,sales,medium
245,,0.94,0.9,2.0,264.0,3.0,0.0,0.0,hr,low
246,11607.0,0.59,0.88,7.0,268.0,3.0,0.0,0.0,IT,medium
247,3342.0,0.4,0.43,2.0,147.0,3.0,0.0,0.0,product_mng,low
248,5646.0,0.61,0.76,4.0,215.0,2.0,1.0,0.0,RandD,medium
249,9960.0,0.59,0.75,3.0,200.0,3.0,0.0,0.0,management,medium
250,,0.6,0.7,,200.0,,,,,
251,1047.0,0.22,0.45,6.0,279.0,3.0,0.0,0.0,support,medium
252,9513.0,0.67,0.79,3.0,252.0,4.0,0.0,0.0,support,medium
253,8503.0,0.71,0.88,4.0,256.0,3.0,0.0,1.0,sales,low
254,12707.0,0.65,0.86,4.0,203.0,2.0,0.0,0.0,support,high
255,13573.0,0.23,0.47,4.0,165.0,10.0,0.0,0.0,management,high
256,14439.0,0.92,0.89,3.0,243.0,7.0,0.0,0.0,sales,high
257,7522.0,0.57,0.71,,200.0,,,,,
258,7245.0,0.5,0.59,,203.0,,,,,
259,9527.0,0.64,0.76,2.0,199.0,6.0,0.0,0.0,accounting,medium
260,10418.0,0.73,,6.0,205.0,4.0,0.0,0.0,sales,low
261,9668.0,0.79,0.9,3.0,174.0,5.0,1.0,0.0,sales,medium
262,2097.0,0.81,0.55,5.0,219.0,5.0,0.0,0.0,sales,low
263,5512.0,0.87,0.72,5.0,180.0,3.0,0.0,0.0,sales,medium
264,7514.0,0.61,0.71,,203.0,,,,,
265,7120.0,0.61,0.7,,203.0,,,,,
266,9724.0,0.86,0.83,3.0,258.0,5.0,0.0,0.0,IT,low
267,7818.0,0.77,,4.0,269.0,3.0,0.0,0.0,accounting,high
268,3517.0,0.83,0.86,4.0,144.0,5.0,0.0,0.0,sales,medium
269,7361.0,0.61,0.7,,202.0,,,,,
270,12180.0,0.13,0.5,7.0,283.0,4.0,0.0,0.0,support,medium
271,,0.59,0.74,6.0,291.0,2.0,0.0,0.0,support,low
272,12269.0,0.84,0.83,4.0,243.0,3.0,1.0,0.0,hr,medium
273,10997.0,0.1,0.91,6.0,308.0,4.0,0.0,0.0,sales,medium
274,14650.0,0.38,0.43,2.0,112.0,3.0,0.0,0.0,technical,medium
275,7112.0,0.69,1.0,4.0,201.0,3.0,0.0,0.0,product_mng,low
276,1053.0,0.71,0.97,3.0,292.0,4.0,0.0,0.0,marketing,low
277,13686.0,0.76,0.97,4.0,292.0,8.0,0.0,0.0,sales,medium
278,7596.0,0.62,0.7,,205.0,,,,,
279,11040.0,0.8,0.89,3.0,292.0,4.0,0.0,0.0,technical,low
280,7283.0,0.68,0.68,3.0,184.0,4.0,0.0,0.0,IT,low
281,14170.0,0.7,0.58,4.0,,3.0,0.0,0.0,sales,medium
282,949.0,0.15,0.75,6.0,310.0,5.0,0.0,0.0,marketing,low
283,12873.0,0.55,0.76,4.0,175.0,3.0,0.0,1.0,management,medium
284,11592.0,0.72,0.75,5.0,203.0,3.0,0.0,0.0,sales,medium
285,2285.0,0.85,0.95,3.0,257.0,3.0,0.0,0.0,technical,low
286,7729.0,0.61,0.72,,197.0,,,,,
287,7123.0,0.82,0.51,3.0,242.0,3.0,0.0,0.0,RandD,medium
288,3703.0,0.15,0.44,6.0,202.0,6.0,1.0,0.0,technical,low
289,11491.0,0.6,0.79,5.0,210.0,3.0,0.0,0.0,support,medium
290,3227.0,0.94,0.78,4.0,235.0,3.0,0.0,1.0,hr,medium
291,2946.0,0.82,0.94,5.0,,5.0,0.0,0.0,sales,medium
292,13141.0,0.28,0.88,3.0,262.0,3.0,0.0,0.0,sales,low
293,7424.0,0.6,0.71,,197.0,,,,,
294,12089.0,0.81,0.96,3.0,198.0,4.0,0.0,0.0,sales,medium
295,4198.0,0.74,0.52,2.0,138.0,5.0,0.0,0.0,sales,low
296,14233.0,0.83,,2.0,137.0,3.0,0.0,0.0,support,medium
297,2958.0,,0.43,2.0,141.0,3.0,0.0,0.0,sales,low
298,12567.0,0.23,0.48,6.0,114.0,4.0,0.0,0.0,IT,low
299,12958.0,0.11,0.39,6.0,267.0,4.0,1.0,0.0,sales,medium
300,13470.0,0.89,0.65,2.0,239.0,4.0,0.0,0.0,sales,low
301,7459.0,0.7,0.7,,198.0,,,,,
302,9894.0,0.53,0.59,3.0,192.0,4.0,0.0,0.0,accounting,high
303,1529.0,0.29,0.85,6.0,277.0,5.0,0.0,0.0,technical,high
304,,,0.64,3.0,160.0,3.0,0.0,0.0,support,medium
305,6907.0,0.27,0.97,5.0,258.0,4.0,1.0,0.0,RandD,low
306,,0.8,0.76,3.0,266.0,6.0,0.0,0.0,technical,medium
307,9278.0,0.63,0.72,5.0,202.0,6.0,1.0,0.0,product_mng,low
308,12853.0,0.77,0.59,3.0,149.0,3.0,0.0,0.0,management,low
309,1129.0,0.9,0.93,5.0,262.0,3.0,0.0,0.0,support,medium
310,2366.0,0.65,0.66,5.0,256.0,2.0,0.0,0.0,IT,medium
311,7842.0,0.6,0.73,,199.0,,,,,
312,3779.0,0.78,0.66,5.0,236.0,3.0,0.0,0.0,sales,high
313,7295.0,0.58,0.58,,206.0,,,,,
314,4739.0,0.62,0.69,2.0,165.0,10.0,1.0,0.0,IT,low
315,9026.0,0.72,0.83,5.0,199.0,2.0,0.0,0.0,support,medium
316,2564.0,0.68,0.46,3.0,179.0,7.0,1.0,0.0,sales,medium
317,7407.0,0.53,0.75,4.0,161.0,6.0,1.0,0.0,RandD,medium
318,10432.0,0.38,0.43,2.0,172.0,3.0,0.0,0.0,sales,low
319,7223.0,0.79,0.97,5.0,218.0,3.0,0.0,1.0,sales,low
320,2800.0,0.72,0.47,3.0,131.0,3.0,0.0,1.0,management,high
321,14384.0,0.41,0.47,2.0,259.0,3.0,0.0,0.0,sales,low
322,12991.0,0.73,0.81,4.0,159.0,2.0,0.0,0.0,marketing,medium
323,2462.0,0.6,0.56,4.0,154.0,3.0,0.0,0.0,RandD,high
324,3025.0,0.73,,4.0,266.0,4.0,0.0,0.0,marketing,medium
325,,0.68,,3.0,226.0,3.0,0.0,0.0,sales,low
326,5953.0,0.67,0.63,3.0,196.0,3.0,0.0,1.0,sales,medium
327,10519.0,0.67,0.48,3.0,167.0,8.0,0.0,0.0,accounting,medium
328,13516.0,0.62,0.46,2.0,141.0,3.0,0.0,0.0,sales,medium
329,,0.63,0.72,,199.0,,,,,
330,1110.0,0.16,1.0,5.0,274.0,4.0,0.0,0.0,technical,medium
331,4130.0,0.22,,6.0,285.0,4.0,0.0,0.0,sales,low
332,4001.0,0.88,0.71,5.0,105.0,2.0,0.0,0.0,product_mng,high
333,7967.0,0.6,0.61,,200.0,,,,,
334,7111.0,0.6,0.72,,195.0,,,,,
335,4481.0,0.88,0.97,5.0,255.0,3.0,0.0,1.0,technical,low
336,9847.0,0.91,0.64,4.0,155.0,3.0,0.0,0.0,IT,medium
337,1373.0,,0.45,2.0,130.0,2.0,1.0,0.0,sales,low
338,10323.0,0.82,0.81,4.0,254.0,4.0,0.0,0.0,accounting,high
339,6224.0,0.57,0.53,3.0,,3.0,0.0,0.0,technical,high
340,3948.0,0.6,0.72,3.0,199.0,2.0,0.0,0.0,sales,low
341,7305.0,0.62,0.71,,199.0,,,,,
342,7153.0,0.67,0.93,3.0,170.0,5.0,0.0,0.0,sales,medium
343,3770.0,0.58,0.63,4.0,156.0,3.0,0.0,0.0,sales,medium
344,3738.0,0.93,0.85,3.0,230.0,3.0,1.0,1.0,management,high
345,1797.0,0.92,0.79,6.0,103.0,6.0,0.0,0.0,technical,high
346,3372.0,0.16,0.92,6.0,265.0,4.0,0.0,0.0,support,low
347,13381.0,0.8,0.41,3.0,236.0,10.0,0.0,0.0,management,medium
348,2848.0,0.41,0.53,2.0,129.0,3.0,0.0,0.0,technical,medium
349,787.0,0.12,0.79,7.0,294.0,4.0,0.0,0.0,support,medium
350,2676.0,,0.83,6.0,310.0,6.0,0.0,0.0,marketing,low
351,8350.0,0.76,0.79,4.0,254.0,2.0,0.0,0.0,sales,low
352,7160.0,0.62,0.7,,199.0,,,,,
353,9696.0,0.44,0.64,2.0,253.0,3.0,0.0,0.0,marketing,low
354,9105.0,0.68,0.79,5.0,269.0,6.0,0.0,0.0,technical,medium
355,12542.0,0.94,0.98,4.0,194.0,2.0,0.0,0.0,support,low
356,12822.0,0.73,0.77,5.0,238.0,8.0,0.0,0.0,sales,low
357,9628.0,0.64,0.75,3.0,209.0,2.0,0.0,0.0,RandD,medium
358,7645.0,0.64,0.72,,198.0,,,,,
359,9590.0,0.61,0.82,3.0,196.0,3.0,1.0,0.0,sales,medium
360,7642.0,0.72,0.71,,200.0,,,,,
361,1687.0,0.15,0.94,3.0,250.0,4.0,0.0,0.0,marketing,high
362,14378.0,0.71,0.43,6.0,163.0,4.0,1.0,0.0,management,medium
363,6185.0,0.57,0.63,3.0,144.0,2.0,0.0,0.0,RandD,medium
364,5675.0,0.6,0.53,3.0,196.0,2.0,0.0,0.0,hr,medium
365,4774.0,0.79,0.72,5.0,,5.0,1.0,0.0,RandD,high
366,14999.0,0.89,0.75,5.0,227.0,5.0,0.0,0.0,sales,low
367,3730.0,0.92,0.91,5.0,263.0,3.0,0.0,0.0,sales,low
368,6086.0,0.66,0.5,4.0,164.0,5.0,0.0,0.0,IT,medium
369,3782.0,0.54,0.74,3.0,244.0,3.0,0.0,0.0,sales,high
