,index,Unnamed: 0,Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary
56,80,80,11036.0,0.63,0.69,3.0,245.0,3.0,1.0,1.0,marketing,medium
57,82,82,10302.0,0.68,0.8,4.0,265.0,3.0,1.0,0.0,technical,low
58,83,83,5833.0,0.63,0.65,4.0,187.0,3.0,0.0,0.0,RandD,low
59,87,87,8360.0,0.64,0.9,4.0,262.0,2.0,0.0,0.0,hr,low
60,92,92,2860.0,0.62,0.75,3.0,247.0,2.0,0.0,0.0,sales,low
61,93,93,10859.0,0.82,0.63,4.0,141.0,10.0,0.0,0.0,sales,medium
62,94,94,7039.0,0.46,0.89,3.0,165.0,3.0,0.0,1.0,sales,medium
63,96,96,9131.0,0.68,0.88,3.0,270.0,5.0,0.0,0.0,support,medium
64,99,99,14016.0,0.67,0.77,3.0,138.0,3.0,0.0,0.0,product_mng,low
65,100,100,7720.0,0.61,0.71,3.0,198.0,3.0,0.0,0.0,sales,medium
66,101,101,4669.0,0.38,0.42,2.0,130.0,3.0,0.0,0.0,IT,low
67,103,103,14999.0,0.13,1.0,7.0,272.0,4.0,0.0,0.0,sales,low
68,106,106,1350.0,0.18,0.84,7.0,262.0,4.0,0.0,0.0,IT,medium
69,107,107,4670.0,0.75,0.51,3.0,153.0,3.0,0.0,1.0,accounting,medium
70,108,108,14168.0,0.79,0.8,5.0,195.0,10.0,0.0,1.0,hr,medium
71,109,109,4025.0,0.65,0.39,6.0,262.0,6.0,1.0,0.0,marketing,high
72,110,110,755.0,0.1,0.94,7.0,293.0,4.0,0.0,0.0,sales,low
73,112,112,6590.0,0.59,0.8,3.0,198.0,3.0,0.0,0.0,support,medium
74,115,115,2763.0,0.8,0.49,2.0,242.0,3.0,0.0,0.0,accounting,low
75,116,116,12592.0,0.94,0.71,4.0,144.0,5.0,0.0,0.0,sales,low
76,117,117,8391.0,0.77,0.77,4.0,211.0,4.0,0.0,0.0,sales,high
77,119,119,3880.0,0.97,1.0,5.0,258.0,3.0,0.0,0.0,sales,high
78,120,120,3501.0,0.7,0.76,3.0,273.0,8.0,0.0,0.0,marketing,low
79,121,121,12181.0,0.8,0.84,6.0,275.0,7.0,0.0,0.0,sales,low
80,122,122,9909.0,0.44,0.47,2.0,150.0,3.0,0.0,0.0,IT,medium
81,123,123,8792.0,0.74,0.61,5.0,204.0,2.0,0.0,0.0,sales,medium
82,124,124,10310.0,0.82,0.76,3.0,224.0,3.0,0.0,0.0,management,low
83,126,126,7078.0,0.96,0.53,3.0,134.0,3.0,0.0,0.0,IT,low
84,127,127,13980.0,0.6,0.83,5.0,283.0,4.0,0.0,0.0,IT,medium
85,128,128,14999.0,0.67,0.5,3.0,130.0,3.0,0.0,1.0,management,medium
86,130,130,14672.0,0.88,0.86,3.0,219.0,5.0,0.0,0.0,marketing,low
87,131,131,1476.0,0.6,0.78,3.0,200.0,2.0,0.0,0.0,hr,medium
88,132,132,11382.0,0.58,0.87,4.0,272.0,4.0,0.0,0.0,sales,medium
89,133,133,8398.0,0.76,0.76,3.0,272.0,3.0,0.0,1.0,sales,low
90,134,134,6280.0,0.19,0.75,6.0,256.0,6.0,1.0,0.0,technical,low
91,136,136,9224.0,0.13,0.42,6.0,283.0,6.0,0.0,0.0,technical,medium
92,137,137,10651.0,0.62,0.83,3.0,261.0,4.0,0.0,0.0,sales,medium
93,139,139,13072.0,0.55,1.0,4.0,258.0,6.0,0.0,1.0,sales,low
94,141,141,1732.0,0.78,0.98,4.0,248.0,6.0,0.0,0.0,IT,high
95,143,143,14557.0,0.78,0.48,3.0,130.0,3.0,0.0,0.0,marketing,low
96,144,144,3454.0,0.68,0.61,3.0,158.0,3.0,0.0,0.0,sales,medium
97,145,145,2492.0,0.7,0.97,4.0,203.0,2.0,0.0,0.0,technical,medium
98,146,146,12467.0,1.0,0.95,3.0,246.0,4.0,0.0,0.0,management,low
99,149,149,4736.0,0.71,0.86,3.0,137.0,3.0,0.0,0.0,support,low
100,152,152,8387.0,0.91,0.67,4.0,151.0,4.0,0.0,0.0,sales,low
101,154,154,7822.0,0.92,0.81,3.0,214.0,10.0,0.0,0.0,management,high
102,156,156,2055.0,0.91,1.0,5.0,222.0,6.0,0.0,0.0,product_mng,high
103,157,157,8833.0,0.78,0.7,3.0,199.0,3.0,0.0,0.0,hr,low
104,158,158,12443.0,0.71,0.93,6.0,266.0,3.0,0.0,0.0,technical,low
105,159,159,14422.0,0.42,0.47,2.0,124.0,3.0,0.0,0.0,technical,low
106,160,160,14551.0,0.84,0.76,4.0,152.0,3.0,0.0,1.0,management,medium
107,163,163,6171.0,0.2,0.36,3.0,167.0,4.0,1.0,0.0,RandD,medium
108,164,164,2019.0,0.75,0.69,4.0,244.0,10.0,0.0,0.0,IT,medium
109,168,168,6740.0,0.42,0.49,2.0,148.0,4.0,0.0,0.0,sales,medium
110,169,169,13839.0,0.43,0.49,4.0,148.0,3.0,0.0,0.0,sales,high
111,170,170,2083.0,0.12,0.79,7.0,260.0,4.0,0.0,0.0,sales,low
112,171,171,14162.0,0.72,0.47,4.0,223.0,3.0,1.0,0.0,marketing,low
113,172,172,3732.0,0.11,0.88,4.0,248.0,4.0,0.0,0.0,support,low
114,174,174,1061.0,0.13,0.95,7.0,297.0,4.0,0.0,0.0,marketing,medium
115,175,175,8742.0,0.96,0.73,3.0,179.0,3.0,0.0,0.0,sales,low
116,177,177,10155.0,0.91,0.8,3.0,197.0,3.0,0.0,0.0,technical,medium
117,178,178,4527.0,0.74,0.47,5.0,136.0,3.0,0.0,0.0,sales,low
118,179,179,4818.0,0.83,0.77,3.0,239.0,3.0,0.0,0.0,sales,high
119,180,180,8991.0,0.6,0.86,5.0,198.0,2.0,0.0,0.0,sales,high
120,181,181,7700.0,0.92,0.71,3.0,205.0,2.0,0.0,0.0,RandD,medium
121,182,182,1215.0,0.8,0.85,4.0,249.0,5.0,0.0,0.0,IT,low
122,183,183,7613.0,0.68,0.54,3.0,143.0,4.0,0.0,0.0,product_mng,high
123,184,184,5711.0,0.73,0.4,2.0,196.0,3.0,0.0,0.0,marketing,low
124,185,185,12007.0,0.98,0.82,3.0,130.0,3.0,0.0,1.0,sales,medium
125,186,186,3597.0,0.68,0.96,3.0,244.0,5.0,0.0,0.0,product_mng,medium
126,187,187,7893.0,0.64,0.58,3.0,167.0,3.0,0.0,0.0,accounting,low
127,189,189,10163.0,0.77,0.76,3.0,176.0,4.0,0.0,0.0,IT,medium
128,190,190,4887.0,0.6,0.49,5.0,157.0,3.0,0.0,0.0,accounting,low
129,191,191,724.0,0.96,0.72,5.0,288.0,5.0,0.0,0.0,IT,medium
130,192,192,949.0,0.16,0.99,4.0,257.0,5.0,0.0,0.0,technical,low
131,194,194,9185.0,0.61,0.65,3.0,180.0,7.0,0.0,0.0,sales,medium
132,195,195,7845.0,0.67,0.66,3.0,180.0,3.0,0.0,0.0,technical,low
133,198,198,12559.0,0.53,0.73,3.0,284.0,10.0,0.0,0.0,sales,medium
134,199,199,414.0,0.76,0.9,5.0,267.0,2.0,0.0,0.0,support,medium
135,200,200,14323.0,0.86,0.7,3.0,251.0,3.0,1.0,0.0,accounting,low
136,201,201,14498.0,0.83,0.72,4.0,139.0,3.0,1.0,1.0,hr,medium
137,203,203,8613.0,0.54,0.49,3.0,188.0,2.0,1.0,0.0,hr,high
138,205,205,13665.0,0.83,0.89,3.0,214.0,5.0,0.0,0.0,marketing,low
139,206,206,14252.0,0.63,0.79,3.0,260.0,4.0,0.0,0.0,IT,medium
140,207,207,7885.0,0.93,0.62,3.0,141.0,3.0,1.0,0.0,sales,low
141,208,208,14812.0,0.88,0.75,4.0,169.0,3.0,0.0,1.0,sales,medium
142,209,209,10543.0,0.92,0.84,4.0,273.0,3.0,0.0,0.0,RandD,low
143,210,210,9300.0,0.72,0.88,4.0,209.0,7.0,0.0,0.0,sales,medium
144,211,211,14184.0,0.12,0.76,5.0,275.0,5.0,0.0,0.0,IT,low
145,212,212,7673.0,0.62,0.6,5.0,236.0,3.0,0.0,0.0,RandD,medium
146,215,215,2555.0,0.21,0.72,6.0,293.0,6.0,0.0,0.0,IT,low
147,216,216,7470.0,0.66,0.86,5.0,246.0,3.0,0.0,0.0,sales,low
148,219,219,6537.0,0.5,0.74,3.0,247.0,2.0,0.0,0.0,sales,medium
149,220,220,9049.0,0.76,0.8,3.0,165.0,8.0,1.0,0.0,sales,medium
150,221,221,8730.0,0.78,0.57,3.0,155.0,3.0,1.0,0.0,sales,medium
151,222,222,12867.0,0.2,0.5,2.0,146.0,8.0,1.0,0.0,hr,low
152,224,224,3514.0,0.91,0.8,4.0,200.0,5.0,0.0,0.0,sales,medium
153,226,226,13710.0,0.09,0.95,6.0,233.0,6.0,0.0,0.0,marketing,low
154,227,227,12068.0,0.61,0.36,3.0,201.0,3.0,1.0,1.0,management,medium
155,230,230,6728.0,0.48,0.71,4.0,148.0,3.0,1.0,0.0,sales,low
156,232,232,5217.0,0.88,0.97,4.0,248.0,2.0,0.0,0.0,accounting,medium
157,234,234,3173.0,0.62,0.79,4.0,163.0,3.0,0.0,0.0,sales,low
158,235,235,3616.0,0.13,0.9,5.0,262.0,4.0,1.0,0.0,accounting,medium
159,237,237,3463.0,0.16,0.89,7.0,264.0,4.0,0.0,0.0,support,low
160,239,239,11948.0,0.72,0.5,4.0,139.0,3.0,1.0,1.0,hr,medium
161,243,243,1409.0,0.14,0.89,7.0,268.0,4.0,0.0,0.0,support,medium
162,244,244,5741.0,0.17,0.86,3.0,96.0,7.0,0.0,0.0,sales,medium
163,246,246,11607.0,0.59,0.88,7.0,268.0,3.0,0.0,0.0,IT,medium
164,247,247,3342.0,0.4,0.43,2.0,147.0,3.0,0.0,0.0,product_mng,low
165,248,248,5646.0,0.61,0.76,4.0,215.0,2.0,1.0,0.0,RandD,medium
166,249,249,9960.0,0.59,0.75,3.0,200.0,3.0,0.0,0.0,management,medium
167,251,251,1047.0,0.22,0.45,6.0,279.0,3.0,0.0,0.0,support,medium
168,252,252,9513.0,0.67,0.79,3.0,252.0,4.0,0.0,0.0,support,medium
169,253,253,8503.0,0.71,0.88,4.0,256.0,3.0,0.0,1.0,sales,low
170,254,254,12707.0,0.65,0.86,4.0,203.0,2.0,0.0,0.0,support,high
171,255,255,13573.0,0.23,0.47,4.0,165.0,10.0,0.0,0.0,management,high
172,256,256,14439.0,0.92,0.89,3.0,243.0,7.0,0.0,0.0,sales,high
173,259,259,9527.0,0.64,0.76,2.0,199.0,6.0,0.0,0.0,accounting,medium
174,261,261,9668.0,0.79,0.9,3.0,174.0,5.0,1.0,0.0,sales,medium
175,262,262,2097.0,0.81,0.55,5.0,219.0,5.0,0.0,0.0,sales,low
176,263,263,5512.0,0.87,0.72,5.0,180.0,3.0,0.0,0.0,sales,medium
177,266,266,9724.0,0.86,0.83,3.0,258.0,5.0,0.0,0.0,IT,low
178,268,268,3517.0,0.83,0.86,4.0,144.0,5.0,0.0,0.0,sales,medium
179,270,270,12180.0,0.13,0.5,7.0,283.0,4.0,0.0,0.0,support,medium
180,272,272,12269.0,0.84,0.83,4.0,243.0,3.0,1.0,0.0,hr,medium
181,273,273,10997.0,0.1,0.91,6.0,308.0,4.0,0.0,0.0,sales,medium
182,274,274,14650.0,0.38,0.43,2.0,112.0,3.0,0.0,0.0,technical,medium
183,275,275,7112.0,0.69,1.0,4.0,201.0,3.0,0.0,0.0,product_mng,low
184,276,276,1053.0,0.71,0.97,3.0,292.0,4.0,0.0,0.0,marketing,low
185,277,277,13686.0,0.76,0.97,4.0,292.0,8.0,0.0,0.0,sales,medium
186,279,279,11040.0,0.8,0.89,3.0,292.0,4.0,0.0,0.0,technical,low
187,280,280,7283.0,0.68,0.68,3.0,184.0,4.0,0.0,0.0,IT,low
188,282,282,949.0,0.15,0.75,6.0,310.0,5.0,0.0,0.0,marketing,low
189,283,283,12873.0,0.55,0.76,4.0,175.0,3.0,0.0,1.0,management,medium
190,284,284,11592.0,0.72,0.75,5.0,203.0,3.0,0.0,0.0,sales,medium
191,285,285,2285.0,0.85,0.95,3.0,257.0,3.0,0.0,0.0,technical,low
192,287,287,7123.0,0.82,0.51,3.0,242.0,3.0,0.0,0.0,RandD,medium
193,288,288,3703.0,0.15,0.44,6.0,202.0,6.0,1.0,0.0,technical,low
194,289,289,11491.0,0.6,0.79,5.0,210.0,3.0,0.0,0.0,support,medium
195,290,290,3227.0,0.94,0.78,4.0,235.0,3.0,0.0,1.0,hr,medium
196,292,292,13141.0,0.28,0.88,3.0,262.0,3.0,0.0,0.0,sales,low
197,294,294,12089.0,0.81,0.96,3.0,198.0,4.0,0.0,0.0,sales,medium
198,295,295,4198.0,0.74,0.52,2.0,138.0,5.0,0.0,0.0,sales,low
199,298,298,12567.0,0.23,0.48,6.0,114.0,4.0,0.0,0.0,IT,low
200,299,299,12958.0,0.11,0.39,6.0,267.0,4.0,1.0,0.0,sales,medium
201,300,300,13470.0,0.89,0.65,2.0,239.0,4.0,0.0,0.0,sales,low
202,302,302,9894.0,0.53,0.59,3.0,192.0,4.0,0.0,0.0,accounting,high
203,303,303,1529.0,0.29,0.85,6.0,277.0,5.0,0.0,0.0,technical,high
204,305,305,6907.0,0.27,0.97,5.0,258.0,4.0,1.0,0.0,RandD,low
205,307,307,9278.0,0.63,0.72,5.0,202.0,6.0,1.0,0.0,product_mng,low
206,308,308,12853.0,0.77,0.59,3.0,149.0,3.0,0.0,0.0,management,low
207,309,309,1129.0,0.9,0.93,5.0,262.0,3.0,0.0,0.0,support,medium
208,310,310,2366.0,0.65,0.66,5.0,256.0,2.0,0.0,0.0,IT,medium
209,312,312,3779.0,0.78,0.66,5.0,236.0,3.0,0.0,0.0,sales,high
210,314,314,4739.0,0.62,0.69,2.0,165.0,10.0,1.0,0.0,IT,low
211,315,315,9026.0,0.72,0.83,5.0,199.0,2.0,0.0,0.0,support,medium
212,316,316,2564.0,0.68,0.46,3.0,179.0,7.0,1.0,0.0,sales,medium
213,317,317,7407.0,0.53,0.75,4.0,161.0,6.0,1.0,0.0,RandD,medium
214,318,318,10432.0,0.38,0.43,2.0,172.0,3.0,0.0,0.0,sales,low
215,319,319,7223.0,0.79,0.97,5.0,218.0,3.0,0.0,1.0,sales,low
216,320,320,2800.0,0.72,0.47,3.0,131.0,3.0,0.0,1.0,management,high
217,321,321,14384.0,0.41,0.47,2.0,259.0,3.0,0.0,0.0,sales,low
218,322,322,12991.0,0.73,0.81,4.0,159.0,2.0,0.0,0.0,marketing,medium
219,323,323,2462.0,0.6,0.56,4.0,154.0,3.0,0.0,0.0,RandD,high
220,326,326,5953.0,0.67,0.63,3.0,196.0,3.0,0.0,1.0,sales,medium
221,327,327,10519.0,0.67,0.48,3.0,167.0,8.0,0.0,0.0,accounting,medium
222,328,328,13516.0,0.62,0.46,2.0,141.0,3.0,0.0,0.0,sales,medium
223,330,330,1110.0,0.16,1.0,5.0,274.0,4.0,0.0,0.0,technical,medium
224,332,332,4001.0,0.88,0.71,5.0,105.0,2.0,0.0,0.0,product_mng,high
225,335,335,4481.0,0.88,0.97,5.0,255.0,3.0,0.0,1.0,technical,low
226,336,336,9847.0,0.91,0.64,4.0,155.0,3.0,0.0,0.0,IT,medium
227,338,338,10323.0,0.82,0.81,4.0,254.0,4.0,0.0,0.0,accounting,high
228,340,340,3948.0,0.6,0.72,3.0,199.0,2.0,0.0,0.0,sales,low
229,342,342,7153.0,0.67,0.93,3.0,170.0,5.0,0.0,0.0,sales,medium
230,343,343,3770.0,0.58,0.63,4.0,156.0,3.0,0.0,0.0,sales,medium
231,344,344,3738.0,0.93,0.85,3.0,230.0,3.0,1.0,1.0,management,high
232,345,345,1797.0,0.92,0.79,6.0,103.0,6.0,0.0,0.0,technical,high
233,346,346,3372.0,0.16,0.92,6.0,265.0,4.0,0.0,0.0,support,low
234,347,347,13381.0,0.8,0.41,3.0,236.0,10.0,0.0,0.0,management,medium
235,348,348,2848.0,0.41,0.53,2.0,129.0,3.0,0.0,0.0,technical,medium
236,349,349,787.0,0.12,0.79,7.0,294.0,4.0,0.0,0.0,support,medium
237,351,351,8350.0,0.76,0.79,4.0,254.0,2.0,0.0,0.0,sales,low
238,353,353,9696.0,0.44,0.64,2.0,253.0,3.0,0.0,0.0,marketing,low
239,354,354,9105.0,0.68,0.79,5.0,269.0,6.0,0.0,0.0,technical,medium
240,355,355,12542.0,0.94,0.98,4.0,194.0,2.0,0.0,0.0,support,low
241,356,356,12822.0,0.73,0.77,5.0,238.0,8.0,0.0,0.0,sales,low
242,357,357,9628.0,0.64,0.75,3.0,209.0,2.0,0.0,0.0,RandD,medium
243,359,359,9590.0,0.61,0.82,3.0,196.0,3.0,1.0,0.0,sales,medium
244,361,361,1687.0,0.15,0.94,3.0,250.0,4.0,0.0,0.0,marketing,high
245,362,362,14378.0,0.71,0.43,6.0,163.0,4.0,1.0,0.0,management,medium
246,363,363,6185.0,0.57,0.63,3.0,144.0,2.0,0.0,0.0,RandD,medium
247,364,364,5675.0,0.6,0.53,3.0,196.0,2.0,0.0,0.0,hr,medium
248,366,366,14999.0,0.89,0.75,5.0,227.0,5.0,0.0,0.0,sales,low
249,367,367,3730.0,0.92,0.91,5.0,263.0,3.0,0.0,0.0,sales,low
250,368,368,6086.0,0.66,0.5,4.0,164.0,5.0,0.0,0.0,IT,medium
251,369,369,3782.0,0.54,0.74,3.0,244.0,3.0,0.0,0.0,sales,high
252,370,370,3189.0,0.64,0.55,3.0,201.0,2.0,0.0,0.0,hr,medium
253,371,371,7932.0,0.13,0.72,6.0,277.0,4.0,0.0,0.0,IT,low
254,372,372,12142.0,0.43,0.48,2.0,139.0,3.0,0.0,0.0,marketing,low
255,374,374,5521.0,0.84,0.59,4.0,200.0,2.0,0.0,0.0,sales,medium
256,375,375,5937.0,0.6,0.69,3.0,203.0,3.0,0.0,0.0,management,high
257,376,376,4925.0,0.71,0.91,3.0,185.0,4.0,0.0,0.0,accounting,high
258,377,377,6401.0,0.52,0.57,2.0,200.0,2.0,0.0,0.0,sales,medium
259,378,378,10764.0,0.12,0.86,6.0,197.0,4.0,0.0,0.0,sales,low
260,379,379,9036.0,0.47,0.72,5.0,247.0,6.0,0.0,0.0,management,high
261,380,380,12782.0,0.6,0.68,4.0,183.0,3.0,0.0,0.0,sales,medium
262,381,381,314.0,0.16,0.86,7.0,266.0,5.0,0.0,0.0,IT,low
263,382,382,13881.0,0.15,0.74,6.0,109.0,4.0,0.0,0.0,sales,medium
264,384,384,5481.0,0.62,0.78,3.0,196.0,2.0,0.0,0.0,sales,medium
265,385,385,13690.0,0.77,0.85,4.0,240.0,3.0,0.0,0.0,sales,medium
266,386,386,13744.0,0.68,0.85,5.0,189.0,10.0,0.0,0.0,management,high
267,389,389,1953.0,0.75,0.53,4.0,219.0,2.0,0.0,0.0,sales,medium
268,390,390,3208.0,0.65,0.5,3.0,159.0,3.0,0.0,1.0,RandD,medium
269,391,391,5703.0,0.96,0.77,3.0,177.0,2.0,0.0,0.0,marketing,medium
270,393,393,4771.0,0.43,0.44,2.0,173.0,5.0,0.0,0.0,marketing,medium
271,395,395,8116.0,0.71,0.9,3.0,269.0,4.0,0.0,0.0,technical,high
272,396,396,603.0,0.72,0.88,3.0,262.0,5.0,0.0,0.0,sales,medium
273,397,397,8736.0,0.62,0.78,2.0,144.0,3.0,0.0,0.0,marketing,low
274,398,398,9390.0,0.63,0.76,4.0,114.0,2.0,1.0,0.0,IT,low
275,401,401,4313.0,0.73,0.51,2.0,161.0,3.0,0.0,0.0,technical,low
276,403,403,14586.0,0.68,0.91,3.0,157.0,7.0,0.0,0.0,sales,low
277,404,404,4363.0,0.81,0.51,5.0,228.0,6.0,0.0,0.0,product_mng,low
278,405,405,9189.0,0.74,0.74,3.0,142.0,2.0,0.0,0.0,hr,low
279,407,407,8699.0,0.61,0.43,3.0,146.0,3.0,0.0,0.0,technical,medium
280,408,408,5043.0,0.95,0.89,3.0,196.0,3.0,0.0,0.0,sales,low
281,409,409,3107.0,0.64,0.47,3.0,164.0,2.0,0.0,0.0,RandD,low
282,410,410,2451.0,0.64,0.71,4.0,263.0,3.0,0.0,0.0,technical,medium
283,411,411,4517.0,0.68,0.8,4.0,293.0,6.0,0.0,0.0,management,high
284,412,412,2360.0,0.72,0.73,3.0,243.0,3.0,0.0,0.0,hr,medium
285,413,413,2569.0,0.8,0.78,3.0,200.0,4.0,0.0,0.0,accounting,low
286,416,416,9789.0,0.79,0.51,4.0,158.0,3.0,0.0,0.0,accounting,high
287,418,418,8377.0,0.95,0.7,5.0,205.0,4.0,0.0,0.0,technical,low
288,419,419,5273.0,0.86,0.89,3.0,227.0,3.0,0.0,0.0,sales,high
289,420,420,10582.0,0.18,0.87,3.0,254.0,6.0,0.0,0.0,sales,low
290,421,421,1499.0,0.21,0.65,6.0,197.0,6.0,0.0,0.0,technical,medium
291,422,422,7911.0,0.61,0.76,2.0,204.0,6.0,0.0,0.0,IT,medium
292,424,424,10444.0,0.52,0.67,4.0,220.0,4.0,0.0,0.0,product_mng,medium
293,426,426,12567.0,0.96,0.9,3.0,251.0,6.0,0.0,0.0,hr,medium
294,428,428,8462.0,0.72,0.48,2.0,136.0,3.0,0.0,0.0,technical,low
295,430,430,3367.0,0.73,0.46,3.0,138.0,3.0,0.0,0.0,technical,medium
296,431,431,11419.0,0.67,0.49,3.0,153.0,3.0,0.0,0.0,sales,low
297,432,432,1360.0,0.77,0.82,2.0,126.0,2.0,0.0,0.0,IT,medium
298,433,433,9097.0,0.93,0.55,3.0,177.0,2.0,0.0,0.0,marketing,medium
299,434,434,3755.0,0.9,0.71,4.0,196.0,3.0,1.0,1.0,management,high
300,435,435,7795.0,0.71,0.69,5.0,208.0,5.0,0.0,0.0,sales,low
301,438,438,4823.0,0.73,0.78,5.0,193.0,5.0,0.0,0.0,sales,medium
302,441,441,3305.0,0.4,0.49,3.0,195.0,7.0,0.0,0.0,management,low
303,442,442,2834.0,0.84,0.9,3.0,268.0,3.0,0.0,0.0,technical,medium
304,443,443,2029.0,0.72,0.89,4.0,297.0,5.0,0.0,0.0,support,medium
305,444,444,761.0,0.45,0.83,4.0,158.0,3.0,0.0,0.0,support,low
306,445,445,2454.0,0.65,0.66,4.0,152.0,3.0,0.0,0.0,support,low
307,446,446,9329.0,0.45,0.51,2.0,151.0,3.0,0.0,0.0,IT,low
308,448,448,8386.0,0.17,0.48,3.0,204.0,4.0,0.0,0.0,IT,low
309,449,449,14374.0,0.64,0.77,4.0,264.0,7.0,0.0,0.0,sales,medium
